,text
199,"December 20 – 2023 Democratic Republic of the Congo general election: Incumbent President Félix Tshisekedi wins re-election, defeating two major challengers."
200,December 21 – The European Court of Justice rules that threats by FIFA and UEFA to sanction football clubs that wish to join the European Super League are unlawful.
201,"December 21 – The deadliest mass shooting in the Czech Republic's history occurs at a Prague university, with 15 killed and 25 others wounded."
202,"December 22 – Israel–Hamas war: The death toll in Gaza is reported to have passed 20,000, almost 1 percent of its population and surpassing the casualties in the 1948 Arab–Israeli War."
203,"December 29 – Russian invasion of Ukraine: Russia launches the largest wave of drones and missiles on Ukrainian cities since the start of the war in a overnight assault, killing at least 39 people and injuring at least 160 others. Ukraine launches a drone assault the following day, killing at least 21 people, including three children, and injuring 110 others, including 17 children."
204,"December 31 – Queen Margrethe II of Denmark announces her abdication effective January 14, 2024, after 52 years on the throne."
205,"December 21 – The world population on January 1, 2023 was estimated at 7.943 billion people, and was expected to increase to 8.119 billion on January 1, 2024. An estimated 134.3 million births and 60.8 million deaths were expected to take place in 2023. The average global life expectancy was 73.16 years, an increase of 0.18 years from 2022. The rate of child mortality was by the end of the year, expected to have decreased from 2022. Less than 23% of people were living in extreme poverty (on or below the international poverty line), a decrease from 2022. In April, India surpassed China as the most populated country in the world."
206,December 21 – The best-selling video game in 2023 was Hogwarts Legacy.
207,December 21 – The highest-grossing movie in 2023 was Barbie.
208,"December 21 – The best-selling book in 2023 was It Ends with Us, which was published in 2016. Of the books to be published in 2023, Spare was the best-selling."
209,"Chemistry – Moungi Bawendi, Louis E. Brus & Alexey Ekimov, for the discovery and synthesis of quantum dots."
210,"Economics – Claudia Goldin, for her empirical research into female income and employment."
211,"Literature – Jon Fosse, for his innovative plays, prose and style, which has come to be known as Fosse minimalism."
212,"Peace – Narges Mohammadi, for her works on the promotion of feminism."
213,"Physics – Pierre Agostini, Ferenc Krausz & Anne L'Huillier, for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter."
214,"Physiology or Medicine – Katalin Karikó & Drew Weissman, for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19."
